epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.687,0.80432,1.87872,1.29749,0.51611,0.69466,0.55004,0.41646,0.77774,1.51486,1.42059,0.000415837,0.000415837,0.000415837
2,212.757,0.80403,1.25205,1.28061,0.51042,0.82565,0.68363,0.53582,0.76477,1.35208,1.43117,0.00081602,0.00081602,0.00081602
3,316.862,0.80918,1.1122,1.28147,0.69334,0.73025,0.77406,0.62287,0.77269,1.06095,1.4169,0.0011997,0.0011997,0.0011997
4,414.866,0.78635,1.01044,1.2617,0.54481,0.79584,0.75542,0.61768,0.65985,1.30197,1.28993,0.00117575,0.00117575,0.00117575
5,513.428,0.77027,0.93223,1.24698,0.77334,0.86168,0.91887,0.75199,0.71703,0.65209,1.31681,0.001151,0.001151,0.001151
6,610.968,0.74028,0.8608,1.22818,0.83762,0.83891,0.91768,0.78039,0.62253,0.62991,1.24136,0.00112625,0.00112625,0.00112625
7,708.45,0.73269,0.80953,1.21842,0.8001,0.84286,0.90943,0.78613,0.5981,0.67041,1.22391,0.0011015,0.0011015,0.0011015
8,808.14,0.71275,0.7836,1.20323,0.85394,0.85179,0.94009,0.77943,0.66744,0.56973,1.3178,0.00107675,0.00107675,0.00107675
9,908.052,0.703,0.73977,1.1975,0.91275,0.89815,0.97003,0.83913,0.5958,0.44695,1.20102,0.001052,0.001052,0.001052
10,1005.09,0.69231,0.72161,1.19032,0.92848,0.9246,0.97754,0.84502,0.58952,0.41953,1.19343,0.00102725,0.00102725,0.00102725
11,1102.1,0.68127,0.69023,1.18269,0.92218,0.92189,0.97512,0.83022,0.62774,0.43921,1.26193,0.0010025,0.0010025,0.0010025
12,1202.24,0.67685,0.66038,1.17954,0.92624,0.92499,0.9742,0.84644,0.58533,0.41447,1.19485,0.00097775,0.00097775,0.00097775
13,1300.2,0.67126,0.64979,1.17551,0.95151,0.93004,0.98768,0.85886,0.57606,0.39362,1.1854,0.000953,0.000953,0.000953
14,1397.56,0.66395,0.64029,1.17093,0.94659,0.96862,0.98509,0.85709,0.57451,0.35464,1.18271,0.00092825,0.00092825,0.00092825
15,1494.49,0.666,0.62534,1.17311,0.96484,0.96162,0.99077,0.87086,0.56161,0.33164,1.16677,0.0009035,0.0009035,0.0009035
16,1591.79,0.65131,0.61073,1.16069,0.97673,0.9732,0.9912,0.86125,0.58295,0.33289,1.20713,0.00087875,0.00087875,0.00087875
17,1688.71,0.65323,0.59745,1.1657,0.97376,0.96496,0.9901,0.86697,0.5758,0.33151,1.18452,0.000854,0.000854,0.000854
18,1785.7,0.644,0.57608,1.15738,0.97546,0.94045,0.98872,0.87127,0.55977,0.33133,1.16089,0.00082925,0.00082925,0.00082925
19,1882.68,0.63516,0.56333,1.15307,0.96274,0.97322,0.99075,0.87006,0.5586,0.31634,1.16489,0.0008045,0.0008045,0.0008045
20,1979.43,0.63737,0.56137,1.15213,0.97677,0.9674,0.99138,0.86954,0.56082,0.31394,1.16523,0.00077975,0.00077975,0.00077975
21,2076.45,0.62733,0.54203,1.1441,0.97097,0.96791,0.99129,0.87377,0.55347,0.31254,1.16366,0.000755,0.000755,0.000755
22,2173.08,0.62567,0.53977,1.14333,0.9818,0.98254,0.99368,0.88439,0.55721,0.29489,1.17093,0.00073025,0.00073025,0.00073025
23,2269.71,0.61907,0.52895,1.13972,0.97456,0.95795,0.99188,0.87405,0.55485,0.30744,1.17103,0.0007055,0.0007055,0.0007055
24,2367.76,0.61465,0.51755,1.13437,0.98037,0.98528,0.99329,0.87673,0.55772,0.28899,1.16655,0.00068075,0.00068075,0.00068075
25,2465.14,0.61584,0.51949,1.14022,0.97818,0.97413,0.99339,0.88244,0.55029,0.28905,1.15908,0.000656,0.000656,0.000656
26,2562.62,0.60898,0.49997,1.13528,0.98156,0.97099,0.99216,0.87272,0.56003,0.30596,1.17518,0.00063125,0.00063125,0.00063125
27,2659.62,0.60353,0.49417,1.12565,0.98676,0.9828,0.99397,0.88357,0.54113,0.27466,1.14956,0.0006065,0.0006065,0.0006065
28,2756.55,0.60566,0.4942,1.13146,0.98715,0.987,0.99368,0.88444,0.55152,0.2891,1.15181,0.00058175,0.00058175,0.00058175
29,2854.54,0.59961,0.48592,1.12739,0.98691,0.97842,0.99359,0.87559,0.56088,0.27533,1.17677,0.000557,0.000557,0.000557
30,2951.51,0.59732,0.47975,1.12836,0.98396,0.98631,0.99259,0.88077,0.55109,0.27014,1.15732,0.00053225,0.00053225,0.00053225
31,3048.53,0.59749,0.47656,1.12575,0.98276,0.98097,0.99405,0.88043,0.55514,0.26938,1.16459,0.0005075,0.0005075,0.0005075
32,3145.38,0.59207,0.46686,1.12154,0.98918,0.9777,0.9944,0.88285,0.53728,0.26055,1.14523,0.00048275,0.00048275,0.00048275
33,3241.77,0.58182,0.46024,1.11559,0.97561,0.98384,0.99293,0.87657,0.54869,0.27369,1.16171,0.000458,0.000458,0.000458
34,3337.96,0.5826,0.45203,1.11708,0.98168,0.98023,0.99355,0.8842,0.55078,0.2811,1.16411,0.00043325,0.00043325,0.00043325
35,3434.15,0.57683,0.44551,1.11643,0.98508,0.98672,0.99298,0.88567,0.5451,0.26324,1.15587,0.0004085,0.0004085,0.0004085
36,3530.56,0.5701,0.43872,1.10836,0.99202,0.97872,0.99436,0.88895,0.54463,0.26241,1.15643,0.00038375,0.00038375,0.00038375
37,3627.01,0.56578,0.42955,1.10733,0.99071,0.98219,0.99424,0.88931,0.53485,0.25568,1.14311,0.000359,0.000359,0.000359
38,3724.57,0.56304,0.42853,1.10234,0.98828,0.99078,0.99449,0.88743,0.54978,0.253,1.16434,0.00033425,0.00033425,0.00033425
39,3821.7,0.56133,0.42516,1.10028,0.98171,0.98254,0.99111,0.87941,0.54804,0.27303,1.15828,0.0003095,0.0003095,0.0003095
40,3918.43,0.55815,0.42119,1.10191,0.98698,0.98881,0.99467,0.88725,0.547,0.25506,1.1622,0.00028475,0.00028475,0.00028475
