epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.943,1.00013,4.6525,1.4181,0.00737,0.97664,0.01585,0.01229,0.86544,3.2635,1.28629,2.8645e-05,2.8645e-05,2.8645e-05
2,537.23,0.82357,3.49585,1.24826,0.0084,0.91058,0.02048,0.01674,0.76157,3.35891,1.20986,5.44747e-05,5.44747e-05,5.44747e-05
3,800.31,0.7731,3.16162,1.20844,0.03347,0.24401,0.0305,0.02555,0.7291,3.54789,1.17339,7.74664e-05,7.74664e-05,7.74664e-05
4,1062.62,0.7506,2.94018,1.18959,0.04959,0.11534,0.0371,0.0318,0.61477,3.70811,1.08817,7.3229e-05,7.3229e-05,7.3229e-05
5,1325.3,0.72554,2.71864,1.16607,0.04331,0.13169,0.0497,0.04249,0.5984,4.02277,1.08806,6.8972e-05,6.8972e-05,6.8972e-05
6,1587.74,0.71061,2.52641,1.15672,0.05802,0.13444,0.06808,0.06013,0.54824,4.07567,1.05452,6.4715e-05,6.4715e-05,6.4715e-05
7,1850.01,0.69858,2.3408,1.14823,0.04343,0.10295,0.06222,0.05338,0.58707,4.458,1.07003,6.0458e-05,6.0458e-05,6.0458e-05
8,2112.51,0.68048,2.18292,1.13708,0.0435,0.11363,0.06492,0.05522,0.58172,4.69356,1.06702,5.6201e-05,5.6201e-05,5.6201e-05
9,2374.65,0.67121,2.04827,1.12874,0.04381,0.10879,0.06723,0.05895,0.51825,4.84864,1.03041,5.1944e-05,5.1944e-05,5.1944e-05
10,2636.85,0.6636,1.92576,1.12309,0.04848,0.1084,0.06297,0.05464,0.56874,5.09733,1.06292,4.7687e-05,4.7687e-05,4.7687e-05
11,2907.34,0.56475,1.35665,1.16028,0.04416,0.07966,0.06752,0.05986,0.51824,5.2797,1.03015,4.343e-05,4.343e-05,4.343e-05
12,3168.37,0.5398,1.20374,1.1326,0.04976,0.08483,0.06799,0.06029,0.48538,5.4845,1.00391,3.9173e-05,3.9173e-05,3.9173e-05
13,3429.57,0.52988,1.10149,1.12461,0.06108,0.08764,0.06527,0.05684,0.50784,5.71269,1.01627,3.4916e-05,3.4916e-05,3.4916e-05
14,3690.68,0.52321,0.9957,1.12215,0.04976,0.08932,0.06658,0.05862,0.49447,5.917,1.00893,3.0659e-05,3.0659e-05,3.0659e-05
15,3951.81,0.50816,0.92953,1.1067,0.04529,0.09033,0.06449,0.05671,0.49166,6.12031,1.01408,2.6402e-05,2.6402e-05,2.6402e-05
16,4212.88,0.4989,0.87094,1.09245,0.0587,0.08715,0.06854,0.0607,0.51424,6.26025,1.02197,2.2145e-05,2.2145e-05,2.2145e-05
17,4474.15,0.48853,0.8277,1.09421,0.05753,0.08591,0.06985,0.06264,0.49784,6.23507,1.01653,1.7888e-05,1.7888e-05,1.7888e-05
18,4735.08,0.48318,0.78306,1.08389,0.04554,0.08275,0.06809,0.06086,0.49394,6.4013,1.01596,1.3631e-05,1.3631e-05,1.3631e-05
19,4996.1,0.47729,0.74874,1.08288,0.04988,0.08256,0.06865,0.06177,0.48827,6.45927,1.01056,9.374e-06,9.374e-06,9.374e-06
20,5257.14,0.46781,0.71961,1.07006,0.04152,0.08273,0.06943,0.06233,0.49066,6.48034,1.01161,5.117e-06,5.117e-06,5.117e-06
