epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.28,0.46446,1.79103,1.03494,0.64278,0.63916,0.48336,0.44059,0.30589,1.11786,0.88985,0.00333183,0.00333183,0.00333183
2,1046.23,0.44658,1.06848,1.01427,0.78229,0.60133,0.59864,0.55665,0.28627,1.84191,0.87515,0.00653319,0.00653319,0.00653319
3,1331.76,0.45955,1.014,1.02352,0.65695,0.70576,0.6537,0.61362,0.28294,0.77232,0.86629,0.00960255,0.00960255,0.00960255
4,1614.87,0.4584,0.98709,1.02774,0.73277,0.74897,0.7399,0.69883,0.28799,0.67361,0.87605,0.009406,0.009406,0.009406
5,1893.63,0.44411,0.91784,1.02484,0.72887,0.76186,0.76444,0.72518,0.26992,0.6351,0.861,0.009208,0.009208,0.009208
6,2170.44,0.43093,0.86018,1.02215,0.85578,0.7737,0.83218,0.79496,0.27186,0.52203,0.86072,0.00901,0.00901,0.00901
7,2446.43,0.42488,0.81016,1.02021,0.88654,0.79276,0.85517,0.81625,0.2685,0.49988,0.86411,0.008812,0.008812,0.008812
8,2720.4,0.41526,0.76598,1.01755,0.95,0.78569,0.8737,0.83319,0.26952,0.42602,0.86506,0.008614,0.008614,0.008614
9,2994.92,0.41006,0.73689,1.01403,0.94223,0.81192,0.87664,0.84066,0.25868,0.4074,0.85439,0.008416,0.008416,0.008416
10,3268.15,0.40513,0.70169,1.01227,0.94558,0.80459,0.87812,0.84135,0.26408,0.40386,0.86236,0.008218,0.008218,0.008218
11,3545.46,0.40405,0.68703,1.01219,0.96084,0.81776,0.88889,0.85222,0.26115,0.39606,0.8507,0.00802,0.00802,0.00802
12,3819.92,0.40012,0.67636,1.01124,0.95972,0.84515,0.89063,0.85329,0.26178,0.36854,0.85786,0.007822,0.007822,0.007822
13,4094.37,0.39373,0.64944,1.00625,0.96434,0.83875,0.89267,0.85735,0.25279,0.33521,0.84396,0.007624,0.007624,0.007624
14,4367.5,0.39236,0.64156,1.00678,0.97334,0.83225,0.89987,0.86466,0.25161,0.33945,0.84789,0.007426,0.007426,0.007426
15,4642.38,0.38561,0.62031,1.00657,0.95548,0.85492,0.89908,0.86402,0.25242,0.33167,0.85337,0.007228,0.007228,0.007228
16,4915.79,0.38341,0.61748,1.0048,0.97295,0.84113,0.89878,0.86243,0.25154,0.29742,0.85332,0.00703,0.00703,0.00703
17,5191.67,0.38369,0.59049,1.00502,0.96998,0.85084,0.89966,0.86469,0.24622,0.30481,0.8489,0.006832,0.006832,0.006832
18,5465.6,0.37805,0.5892,1.00255,0.97893,0.84797,0.90541,0.87031,0.24593,0.29274,0.85094,0.006634,0.006634,0.006634
19,5742,0.37444,0.57795,1.00137,0.97429,0.85276,0.9156,0.88022,0.24302,0.29345,0.8491,0.006436,0.006436,0.006436
20,6016.24,0.37124,0.56661,0.99897,0.97524,0.85242,0.91595,0.88156,0.24483,0.29854,0.85261,0.006238,0.006238,0.006238
21,6291.25,0.36898,0.55659,0.99824,0.98659,0.84329,0.9182,0.88414,0.23972,0.30064,0.84072,0.00604,0.00604,0.00604
22,6565.74,0.36552,0.54549,0.99594,0.98025,0.85815,0.90622,0.87205,0.24023,0.27887,0.84549,0.005842,0.005842,0.005842
23,6839.37,0.36179,0.53337,0.99426,0.97795,0.85921,0.91547,0.88192,0.23941,0.30159,0.84455,0.005644,0.005644,0.005644
24,7113.89,0.36569,0.53114,0.99648,0.91348,0.88737,0.92072,0.88687,0.24038,0.28196,0.8444,0.005446,0.005446,0.005446
25,7388.76,0.35754,0.52496,0.99263,0.98345,0.86123,0.91436,0.88234,0.23703,0.27653,0.84149,0.005248,0.005248,0.005248
26,7663.21,0.35944,0.51811,0.99515,0.93145,0.88284,0.92133,0.88901,0.23689,0.27221,0.84066,0.00505,0.00505,0.00505
27,7936.88,0.35776,0.50514,0.99323,0.8995,0.91278,0.93078,0.89829,0.23593,0.39102,0.84038,0.004852,0.004852,0.004852
28,8210.2,0.35214,0.49552,0.9895,0.887,0.91355,0.93248,0.89992,0.23665,0.27427,0.84315,0.004654,0.004654,0.004654
29,8484.25,0.35213,0.49388,0.99106,0.89509,0.91943,0.93537,0.90215,0.23467,0.27938,0.8418,0.004456,0.004456,0.004456
30,8758.63,0.34735,0.47834,0.98912,0.92095,0.91795,0.94777,0.91463,0.23392,0.60156,0.84026,0.004258,0.004258,0.004258
31,9034.08,0.3469,0.47878,0.9892,0.91783,0.92294,0.9463,0.91384,0.23113,0.31462,0.83669,0.00406,0.00406,0.00406
32,9308.73,0.34381,0.47286,0.98544,0.90881,0.92156,0.94009,0.90822,0.23003,0.3563,0.83511,0.003862,0.003862,0.003862
