epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.176,0.44398,2.65959,1.07161,0.30194,0.6425,0.43032,0.40052,0.36086,2.42474,0.92451,0.0033315,0.0033315,0.0033315
2,496.104,0.43556,1.78805,1.04115,0.65071,0.70217,0.68151,0.639,0.36029,1.01672,0.9064,0.00653287,0.00653287,0.00653287
3,728.292,0.47054,1.4754,1.05035,0.59129,0.75696,0.69169,0.64568,0.40016,1.07768,0.96789,0.00960224,0.00960224,0.00960224
4,960.047,0.47478,1.29282,1.05255,0.71826,0.74442,0.78113,0.73383,0.35195,0.81779,0.90789,0.009406,0.009406,0.009406
5,1191.95,0.4364,1.14776,1.03673,0.70717,0.78851,0.81225,0.75849,0.34993,0.73368,0.89664,0.009208,0.009208,0.009208
6,1424.9,0.4162,1.05142,1.02658,0.73105,0.8199,0.84372,0.78786,0.33573,0.57944,0.89473,0.00901,0.00901,0.00901
7,1657.74,0.39434,0.96678,1.01703,0.79773,0.84359,0.87291,0.81918,0.31625,0.53194,0.8676,0.008812,0.008812,0.008812
8,1892.33,0.37985,0.91101,1.01055,0.83088,0.8397,0.88153,0.82657,0.30756,0.54837,0.86705,0.008614,0.008614,0.008614
9,2126.08,0.3694,0.8617,1.00408,0.81624,0.86834,0.90968,0.85422,0.30032,0.50329,0.85229,0.008416,0.008416,0.008416
10,2354.8,0.36354,0.81776,1.00107,0.86396,0.8613,0.91547,0.86003,0.29505,0.43088,0.84982,0.008218,0.008218,0.008218
11,2584.3,0.35589,0.78753,0.99793,0.83568,0.90051,0.92998,0.87349,0.30017,0.46833,0.84638,0.00802,0.00802,0.00802
12,2813.14,0.34546,0.76228,0.99264,0.90661,0.90239,0.94881,0.88964,0.29102,0.36671,0.84484,0.007822,0.007822,0.007822
13,3041.32,0.34171,0.73456,0.99274,0.93241,0.90306,0.95445,0.89529,0.28936,0.37793,0.84398,0.007624,0.007624,0.007624
14,3269.49,0.33794,0.71327,0.99094,0.93558,0.91813,0.96265,0.90514,0.28168,0.32762,0.83437,0.007426,0.007426,0.007426
15,3498.48,0.3346,0.69283,0.98888,0.92517,0.90748,0.96086,0.90344,0.28036,0.33925,0.83397,0.007228,0.007228,0.007228
16,3726.47,0.32762,0.67896,0.9855,0.94111,0.91882,0.97163,0.91227,0.27846,0.3203,0.8381,0.00703,0.00703,0.00703
17,3955.75,0.32461,0.66282,0.98581,0.94697,0.92344,0.9718,0.91647,0.26961,0.3174,0.82347,0.006832,0.006832,0.006832
18,4184.56,0.32387,0.64462,0.98309,0.95004,0.94616,0.97808,0.92031,0.27445,0.34388,0.83366,0.006634,0.006634,0.006634
19,4414.2,0.31703,0.6254,0.97737,0.94561,0.93717,0.97709,0.92055,0.27167,0.29645,0.82652,0.006436,0.006436,0.006436
20,4643.08,0.31319,0.6075,0.97944,0.96189,0.94012,0.98115,0.92504,0.26559,0.27944,0.81991,0.006238,0.006238,0.006238
21,4872.53,0.31148,0.59539,0.97912,0.96877,0.94141,0.98466,0.92846,0.26308,0.25075,0.82025,0.00604,0.00604,0.00604
