epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.94,0.81294,1.92689,1.30223,0.46466,0.64694,0.55579,0.43396,0.58673,1.84831,1.05296,0.000416015,0.000416015,0.000416015
2,279.83,0.83805,1.28251,1.30353,0.50739,0.75183,0.70001,0.53074,0.63551,1.81064,1.1512,0.000816194,0.000816194,0.000816194
3,403.385,0.83326,1.14444,1.29511,0.64252,0.76831,0.79593,0.62851,0.57887,2.63362,1.05038,0.00119987,0.00119987,0.00119987
4,525.147,0.80304,1.05391,1.27246,0.7528,0.77726,0.83968,0.70163,0.49776,0.76229,0.95658,0.00117575,0.00117575,0.00117575
5,647.069,0.77726,0.98176,1.25388,0.80614,0.83339,0.88319,0.74967,0.47131,1.60586,0.93009,0.001151,0.001151,0.001151
6,768.971,0.75034,0.89444,1.22953,0.83669,0.85205,0.90877,0.76106,0.48474,1.20593,0.94558,0.00112625,0.00112625,0.00112625
7,891.746,0.73938,0.85042,1.22242,0.88012,0.89831,0.94973,0.78679,0.51332,1.29695,0.95783,0.0011015,0.0011015,0.0011015
8,1013.75,0.72478,0.81241,1.2093,0.909,0.89074,0.96218,0.82276,0.445,1.07371,0.91088,0.00107675,0.00107675,0.00107675
9,1135.5,0.71146,0.76722,1.20369,0.90683,0.91265,0.96157,0.81815,0.46089,0.73331,0.91993,0.001052,0.001052,0.001052
10,1257.35,0.70509,0.7302,1.19928,0.93175,0.89251,0.96522,0.82746,0.45187,0.67825,0.91147,0.00102725,0.00102725,0.00102725
11,1379.18,0.70133,0.7162,1.19112,0.93265,0.92083,0.96678,0.82473,0.45009,0.45119,0.89461,0.0010025,0.0010025,0.0010025
12,1501.08,0.68716,0.68979,1.18887,0.95436,0.95159,0.98281,0.84167,0.4499,0.92168,0.89567,0.00097775,0.00097775,0.00097775
13,1623.25,0.67611,0.66726,1.17942,0.95369,0.95247,0.98441,0.85459,0.42601,0.59911,0.88683,0.000953,0.000953,0.000953
14,1745.04,0.67909,0.65422,1.17992,0.93894,0.94875,0.9796,0.85247,0.42727,0.56222,0.88329,0.00092825,0.00092825,0.00092825
15,1867.46,0.6685,0.64225,1.17201,0.9615,0.97082,0.99046,0.87041,0.41285,0.70765,0.86903,0.0009035,0.0009035,0.0009035
16,1990.3,0.66559,0.6141,1.16912,0.96113,0.95476,0.98593,0.85759,0.42723,0.52046,0.88671,0.00087875,0.00087875,0.00087875
17,2112.29,0.6576,0.60905,1.16487,0.95993,0.95607,0.98786,0.86821,0.41591,0.76462,0.87563,0.000854,0.000854,0.000854
18,2235.21,0.65266,0.5931,1.16053,0.97846,0.95912,0.98976,0.86874,0.41181,0.4292,0.85923,0.00082925,0.00082925,0.00082925
19,2357.09,0.64717,0.57872,1.15333,0.96698,0.96899,0.98876,0.86238,0.42357,0.54589,0.87821,0.0008045,0.0008045,0.0008045
20,2479.13,0.64103,0.5788,1.15604,0.97336,0.97088,0.99071,0.86457,0.41592,0.57675,0.87585,0.00077975,0.00077975,0.00077975
21,2601.99,0.6344,0.56433,1.149,0.96777,0.9704,0.99025,0.87103,0.40811,0.53355,0.8575,0.000755,0.000755,0.000755
22,2724.33,0.63309,0.55161,1.14681,0.96652,0.97218,0.99144,0.87405,0.39835,0.54136,0.85073,0.00073025,0.00073025,0.00073025
23,2846.88,0.62845,0.54474,1.14381,0.97411,0.9753,0.99167,0.87962,0.39761,0.37563,0.85269,0.0007055,0.0007055,0.0007055
24,2969.55,0.62335,0.53917,1.14255,0.98083,0.97736,0.99202,0.87511,0.4047,0.3829,0.86092,0.00068075,0.00068075,0.00068075
