epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9633.52,0.37968,0.70553,0.97207,0.96248,0.9562,0.9852,0.92076,0.30301,0.29421,0.84607,0.005842,0.005842,0.005842
44,9858.72,0.37782,0.69193,0.96654,0.97197,0.94987,0.9859,0.92209,0.30449,0.29583,0.84674,0.005743,0.005743,0.005743
45,10083.2,0.37843,0.68151,0.96729,0.96644,0.9574,0.98633,0.92225,0.30419,0.27986,0.84588,0.005644,0.005644,0.005644
46,10307.4,0.37383,0.67898,0.96793,0.97171,0.95352,0.98723,0.9224,0.30553,0.27212,0.84638,0.005545,0.005545,0.005545
47,10531.2,0.37249,0.68143,0.96746,0.97019,0.95715,0.98765,0.92295,0.30532,0.2629,0.84616,0.005446,0.005446,0.005446
48,10755.3,0.37064,0.66323,0.9678,0.97547,0.95252,0.98797,0.92497,0.29771,0.26089,0.84045,0.005347,0.005347,0.005347
49,10979.7,0.36135,0.64915,0.96187,0.97577,0.95269,0.98812,0.925,0.30001,0.26194,0.84203,0.005248,0.005248,0.005248
50,11203.6,0.36637,0.6514,0.96244,0.98034,0.9506,0.98869,0.92586,0.30053,0.25866,0.84179,0.005149,0.005149,0.005149
51,11428.2,0.36974,0.64855,0.96299,0.98086,0.95295,0.98873,0.92596,0.3,0.25644,0.84129,0.00505,0.00505,0.00505
52,11653,0.3678,0.65165,0.96623,0.98045,0.95508,0.98922,0.92666,0.29922,0.26315,0.84076,0.004951,0.004951,0.004951
53,11877.2,0.36125,0.62919,0.96172,0.9774,0.95914,0.98904,0.92722,0.29694,0.25996,0.84002,0.004852,0.004852,0.004852
54,12101.3,0.36635,0.6313,0.96423,0.97706,0.95933,0.98938,0.92754,0.2947,0.26013,0.83776,0.004753,0.004753,0.004753
55,12324.6,0.35969,0.62672,0.96022,0.97844,0.95986,0.98965,0.92832,0.29267,0.26275,0.83554,0.004654,0.004654,0.004654
56,12549.1,0.3583,0.62168,0.96344,0.97942,0.95946,0.98997,0.92891,0.29217,0.26108,0.83491,0.004555,0.004555,0.004555
57,12773.1,0.36095,0.61671,0.96293,0.97926,0.96176,0.99,0.92964,0.29079,0.25891,0.83356,0.004456,0.004456,0.004456
58,12997.9,0.35363,0.60635,0.95992,0.97804,0.96196,0.9902,0.92934,0.28954,0.25683,0.83274,0.004357,0.004357,0.004357
59,13221.6,0.35443,0.61067,0.95715,0.97755,0.96445,0.99023,0.92967,0.28884,0.25719,0.83212,0.004258,0.004258,0.004258
60,13446.4,0.35381,0.60528,0.95847,0.98398,0.95716,0.99039,0.92997,0.28816,0.255,0.83113,0.004159,0.004159,0.004159
61,13670.1,0.35303,0.59713,0.96032,0.98439,0.95854,0.99057,0.93034,0.28698,0.25554,0.83008,0.00406,0.00406,0.00406
62,13894.4,0.35322,0.59496,0.96179,0.9836,0.95943,0.99071,0.9307,0.28629,0.25464,0.82958,0.003961,0.003961,0.003961
63,14118.4,0.354,0.59035,0.95865,0.98594,0.95936,0.99088,0.93061,0.28652,0.25652,0.82988,0.003862,0.003862,0.003862
64,14343.5,0.35008,0.58872,0.95709,0.98484,0.95962,0.99112,0.9309,0.28655,0.25561,0.82985,0.003763,0.003763,0.003763
65,14567.6,0.34722,0.57392,0.95763,0.98505,0.96111,0.99124,0.93091,0.28669,0.2547,0.8299,0.003664,0.003664,0.003664
66,14792.3,0.34392,0.56542,0.95415,0.98441,0.96125,0.9913,0.93092,0.28606,0.25553,0.82961,0.003565,0.003565,0.003565
67,15015.2,0.34432,0.56546,0.95566,0.98411,0.96257,0.99136,0.9317,0.28563,0.25437,0.82946,0.003466,0.003466,0.003466
68,15238.6,0.3437,0.56371,0.95446,0.98622,0.96167,0.99137,0.93203,0.28566,0.2545,0.82955,0.003367,0.003367,0.003367
69,15462.5,0.33853,0.55678,0.95376,0.98479,0.9622,0.9914,0.93236,0.28463,0.25353,0.82867,0.003268,0.003268,0.003268
70,15686.6,0.33944,0.55903,0.9563,0.98558,0.9618,0.99143,0.93296,0.28399,0.2536,0.82803,0.003169,0.003169,0.003169
71,15910.5,0.339,0.55557,0.95334,0.98729,0.96064,0.99152,0.93281,0.28385,0.25435,0.82787,0.00307,0.00307,0.00307
72,16134.3,0.33893,0.55116,0.95196,0.98665,0.96025,0.99156,0.9332,0.28329,0.25327,0.82728,0.002971,0.002971,0.002971
73,16358.3,0.33538,0.53619,0.95075,0.98819,0.96018,0.99163,0.93345,0.28307,0.25359,0.82707,0.002872,0.002872,0.002872
74,16581.9,0.33295,0.54248,0.95206,0.98784,0.96063,0.99174,0.93341,0.28275,0.25314,0.82681,0.002773,0.002773,0.002773
75,16805.6,0.33332,0.53672,0.95091,0.98668,0.96084,0.99172,0.93351,0.28235,0.25452,0.82642,0.002674,0.002674,0.002674
76,17030,0.33004,0.52794,0.95093,0.98659,0.96164,0.99178,0.93367,0.28218,0.25399,0.82623,0.002575,0.002575,0.002575
