epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15863.9,0.38439,0.57371,1.01913,0.98579,0.9751,0.99205,0.92603,0.31616,0.22666,0.86177,0.005842,0.005842,0.005842
44,16232.3,0.387,0.56237,1.0175,0.98748,0.97356,0.99247,0.92873,0.30684,0.22798,0.85111,0.005743,0.005743,0.005743
45,16600.2,0.38517,0.55912,1.01501,0.98572,0.97524,0.9931,0.9287,0.306,0.23282,0.85109,0.005644,0.005644,0.005644
46,16965.5,0.37756,0.55727,1.01397,0.98918,0.97482,0.99258,0.92821,0.30729,0.22862,0.85183,0.005545,0.005545,0.005545
47,17333.6,0.37903,0.55835,1.01556,0.98801,0.97681,0.99268,0.92832,0.30655,0.22633,0.85161,0.005446,0.005446,0.005446
48,17698.8,0.37688,0.54378,1.01487,0.9881,0.97743,0.99279,0.92983,0.30237,0.22734,0.84889,0.005347,0.005347,0.005347
49,18063.9,0.3715,0.53743,1.00978,0.98669,0.9814,0.99286,0.9298,0.29966,0.22363,0.84614,0.005248,0.005248,0.005248
50,18432.2,0.37184,0.53805,1.00963,0.98791,0.98001,0.99301,0.93017,0.29801,0.22137,0.84352,0.005149,0.005149,0.005149
51,18800.1,0.37585,0.53989,1.01179,0.98631,0.98167,0.99295,0.93196,0.2942,0.21713,0.84195,0.00505,0.00505,0.00505
52,19168.7,0.37054,0.5334,1.01094,0.98809,0.98069,0.99266,0.932,0.29378,0.22127,0.84153,0.004951,0.004951,0.004951
53,19536.4,0.36375,0.51748,1.00674,0.98871,0.97938,0.99242,0.93229,0.29496,0.21536,0.84347,0.004852,0.004852,0.004852
54,19905,0.37077,0.52302,1.01046,0.98735,0.97974,0.99287,0.93198,0.296,0.21243,0.84454,0.004753,0.004753,0.004753
55,20272.6,0.36295,0.51649,1.00707,0.98925,0.97949,0.99302,0.93235,0.29562,0.21177,0.84404,0.004654,0.004654,0.004654
56,20640.5,0.36156,0.51362,1.00781,0.99068,0.97879,0.99318,0.93305,0.29257,0.21236,0.84147,0.004555,0.004555,0.004555
57,21008.9,0.36127,0.50715,1.00655,0.99058,0.97847,0.99328,0.93348,0.29014,0.21178,0.83924,0.004456,0.004456,0.004456
58,21376.8,0.35486,0.49839,1.00195,0.98916,0.98043,0.99324,0.93411,0.28792,0.20884,0.83714,0.004357,0.004357,0.004357
59,21741.9,0.35464,0.50156,0.99994,0.98935,0.9805,0.99319,0.93416,0.28706,0.20924,0.83611,0.004258,0.004258,0.004258
60,22110.7,0.3537,0.49244,1.00171,0.98953,0.98109,0.99319,0.93434,0.28719,0.21255,0.83608,0.004159,0.004159,0.004159
61,22478.8,0.35399,0.49502,1.00318,0.98789,0.98199,0.99307,0.93419,0.28764,0.21359,0.83633,0.00406,0.00406,0.00406
62,22847,0.35598,0.49301,1.00497,0.98876,0.98212,0.99306,0.93419,0.28619,0.21124,0.8347,0.003961,0.003961,0.003961
63,23215.3,0.35518,0.48836,1.00206,0.98858,0.98132,0.99308,0.93459,0.28559,0.20984,0.83415,0.003862,0.003862,0.003862
64,23583.8,0.3496,0.47984,0.99909,0.98801,0.98115,0.99316,0.93577,0.28437,0.20916,0.83254,0.003763,0.003763,0.003763
65,23951.7,0.34891,0.47728,0.99947,0.98944,0.98028,0.99314,0.93571,0.28383,0.20738,0.83181,0.003664,0.003664,0.003664
66,24317.8,0.34917,0.47027,0.9985,0.98986,0.9807,0.99314,0.93614,0.28438,0.2075,0.83206,0.003565,0.003565,0.003565
67,24686.4,0.34453,0.46857,0.99703,0.99044,0.98051,0.99318,0.93601,0.28435,0.20581,0.83194,0.003466,0.003466,0.003466
68,25054,0.34427,0.4621,0.99666,0.99079,0.9807,0.9932,0.93619,0.28443,0.2053,0.832,0.003367,0.003367,0.003367
69,25422.3,0.34061,0.45891,0.99487,0.99103,0.98116,0.99322,0.9364,0.28405,0.20416,0.8317,0.003268,0.003268,0.003268
70,25790.4,0.3412,0.45601,0.99668,0.99114,0.9817,0.99327,0.93576,0.28373,0.2031,0.83148,0.003169,0.003169,0.003169
71,26159.6,0.34134,0.45405,0.9954,0.99111,0.98178,0.99332,0.93635,0.2831,0.20223,0.83104,0.00307,0.00307,0.00307
72,26527.1,0.34247,0.45434,0.9952,0.99115,0.98189,0.99338,0.93668,0.28214,0.20061,0.83008,0.002971,0.002971,0.002971
73,26895.3,0.33736,0.44138,0.99639,0.99125,0.98218,0.99345,0.937,0.28143,0.19932,0.82933,0.002872,0.002872,0.002872
74,27262.9,0.33444,0.44244,0.99266,0.99078,0.98218,0.99355,0.93752,0.28052,0.19722,0.82851,0.002773,0.002773,0.002773
75,27630.6,0.33324,0.44086,0.99151,0.99079,0.98272,0.99356,0.93769,0.2797,0.19456,0.82772,0.002674,0.002674,0.002674
76,27995.8,0.33074,0.43428,0.99093,0.99075,0.98274,0.99362,0.93804,0.27902,0.19307,0.82704,0.002575,0.002575,0.002575
77,28363.6,0.32947,0.43516,0.99008,0.99115,0.98284,0.99362,0.93802,0.27843,0.19164,0.82651,0.002476,0.002476,0.002476
78,28731.7,0.32664,0.43418,0.98901,0.99044,0.98312,0.99367,0.93827,0.27778,0.19065,0.82585,0.002377,0.002377,0.002377
79,29100.4,0.32773,0.42451,0.98933,0.9907,0.98256,0.99368,0.93902,0.2768,0.1899,0.82471,0.002278,0.002278,0.002278
80,29465.4,0.32328,0.42033,0.98753,0.99075,0.98268,0.99367,0.93911,0.27586,0.18929,0.82363,0.002179,0.002179,0.002179
81,29833.8,0.31967,0.41361,0.98473,0.99071,0.98269,0.99368,0.93925,0.27526,0.18851,0.82298,0.00208,0.00208,0.00208
82,30202,0.3216,0.41436,0.98525,0.99043,0.98305,0.9937,0.93932,0.27473,0.18742,0.82242,0.001981,0.001981,0.001981
83,30570.7,0.32093,0.41068,0.98583,0.98992,0.983,0.99372,0.93928,0.27438,0.18648,0.82198,0.001882,0.001882,0.001882
84,30938.5,0.32112,0.40356,0.98495,0.98994,0.98293,0.99373,0.93919,0.27407,0.18598,0.82168,0.001783,0.001783,0.001783
85,31305.9,0.31763,0.40289,0.98513,0.99004,0.98291,0.99375,0.93921,0.27384,0.1859,0.82141,0.001684,0.001684,0.001684
86,31673.7,0.31674,0.39402,0.98474,0.99009,0.98284,0.99376,0.93921,0.27361,0.1857,0.82123,0.001585,0.001585,0.001585
87,32038.7,0.31567,0.39189,0.98376,0.98858,0.98493,0.9938,0.93913,0.27336,0.18548,0.82101,0.001486,0.001486,0.001486
88,32407.2,0.31504,0.39566,0.98399,0.98827,0.98528,0.9938,0.93929,0.27309,0.18491,0.82067,0.001387,0.001387,0.001387
89,32775.2,0.30828,0.39033,0.97816,0.98816,0.98547,0.99382,0.93963,0.27279,0.18444,0.8203,0.001288,0.001288,0.001288
90,33143.3,0.30894,0.3879,0.97955,0.98815,0.98542,0.9938,0.93956,inf,0.18371,0.81982,0.001189,0.001189,0.001189
91,33521.8,0.2458,0.18527,0.99702,0.98818,0.98538,0.99379,0.93997,inf,0.18274,0.81952,0.00109,0.00109,0.00109
92,33887.5,0.24102,0.17548,0.98824,0.98821,0.98525,0.99384,0.93973,inf,0.18191,0.81913,0.000991,0.000991,0.000991
93,34253,0.2339,0.16767,0.98371,0.98835,0.98483,0.99381,0.93983,inf,0.1812,0.81856,0.000892,0.000892,0.000892
94,34617,0.22844,0.1626,0.9828,0.9902,0.98318,0.99384,0.94028,inf,0.18062,0.81802,0.000793,0.000793,0.000793
95,35006.9,0.22535,0.15795,0.97951,0.99032,0.9832,0.99385,0.93994,inf,0.18011,0.81745,0.000694,0.000694,0.000694
96,35399.1,0.22169,0.15172,0.97571,0.99057,0.98317,0.99384,0.93995,inf,0.17911,0.81685,0.000595,0.000595,0.000595
97,35775.3,0.22033,0.1523,0.9784,0.99047,0.98321,0.99382,0.94034,inf,0.17855,0.81655,0.000496,0.000496,0.000496
98,36144.8,0.21708,0.14829,0.97604,0.99067,0.98321,0.99382,0.9405,0.26853,0.17821,0.81614,0.000397,0.000397,0.000397
99,36529.7,0.21479,0.14317,0.97392,0.99073,0.98324,0.99382,0.94079,inf,0.1782,0.8157,0.000298,0.000298,0.000298
100,36919.6,0.21009,0.14092,0.96968,0.99086,0.98325,0.99384,0.94094,0.26765,0.17775,0.81521,0.000199,0.000199,0.000199
