epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,438.953,0.30478,3.1604,0.98183,0.28291,0.49711,0.25061,0.24042,0.23054,1.96783,0.83183,0.00333237,0.00333237,0.00333237
2,861.109,0.29873,2.24357,0.95575,0.47443,0.69069,0.60934,0.59594,0.24963,1.1608,0.85579,0.00653372,0.00653372,0.00653372
3,1278.42,0.32499,1.82866,0.96669,0.68081,0.79742,0.77559,0.75706,0.26337,1.13408,0.86392,0.00960307,0.00960307,0.00960307
4,1695.19,0.31257,1.5551,0.96435,0.77912,0.83766,0.84844,0.83062,0.24378,0.65462,0.84326,0.009406,0.009406,0.009406
5,2110.37,0.27915,1.36335,0.9506,0.85229,0.86096,0.89428,0.87336,0.23446,0.54098,0.83957,0.009208,0.009208,0.009208
6,2526.94,0.25811,1.25926,0.94194,0.86652,0.90392,0.92812,0.90901,0.21379,0.43038,0.81737,0.00901,0.00901,0.00901
7,2940.65,0.24729,1.17178,0.93969,0.91061,0.90965,0.94748,0.92638,0.20803,0.39101,0.80935,0.008812,0.008812,0.008812
8,3355.95,0.23512,1.10645,0.93467,0.93187,0.92891,0.96287,0.94058,0.20147,0.33228,0.80742,0.008614,0.008614,0.008614
9,3769.92,0.22939,1.05257,0.934,0.9404,0.92498,0.96504,0.94385,0.19042,0.31918,0.79622,0.008416,0.008416,0.008416
10,4185.28,0.22367,1.00985,0.93032,0.94452,0.94009,0.96933,0.94739,0.1886,0.29169,0.79404,0.008218,0.008218,0.008218
11,4598.65,0.21825,0.97588,0.92829,0.96632,0.94064,0.97592,0.95426,0.19217,0.27911,0.80157,0.00802,0.00802,0.00802
12,5013.56,0.21336,0.93659,0.9273,0.96557,0.94958,0.97881,0.95701,0.18409,0.26641,0.7919,0.007822,0.007822,0.007822
13,5426.72,0.20872,0.90312,0.92549,0.97016,0.94909,0.98022,0.95797,0.18884,0.24976,0.79618,0.007624,0.007624,0.007624
14,5841.63,0.20688,0.89071,0.92528,0.97666,0.95261,0.98238,0.96042,0.18008,0.23636,0.78797,0.007426,0.007426,0.007426
15,6254.77,0.20393,0.85911,0.92386,0.96881,0.95968,0.98385,0.96209,0.17352,0.22967,0.77974,0.007228,0.007228,0.007228
16,6669.89,0.20115,0.83912,0.9238,0.97437,0.95865,0.98464,0.96333,0.17636,0.22661,0.78461,0.00703,0.00703,0.00703
17,7083.64,0.19777,0.82496,0.92209,0.9745,0.96184,0.9866,0.96541,0.17164,0.22044,0.77886,0.006832,0.006832,0.006832
