epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9198,0.37619,0.79608,1.0039,0.75407,0.89999,0.85462,0.79609,0.39989,10.6316,1.03248,0.000663082,0.000663082,0.000663082
2,107.069,0.46947,0.69999,1.0422,0.74843,0.86348,0.83247,0.76152,0.41557,18.3036,1.03954,0.00130342,0.00130342,0.00130342
3,158.414,0.54171,0.74965,1.08563,0.72281,0.83656,0.81039,0.7296,0.45248,11.602,1.04248,0.00191736,0.00191736,0.00191736
4,211.254,0.55696,0.75196,1.09182,0.74214,0.86689,0.8082,0.72039,0.49637,16.3788,1.10626,0.0018812,0.0018812,0.0018812
